Day,Month,Year,DayOfWeek,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,H14,A14,Attendance,Strictness,Season,Round,Hpts,Apts,HTS,ATS,HGSR,AGSR,Home_DS,Away_DS,Home_Form_Points,Away_Form_Points,Home_Goal_Diff_Form,Away_Goal_Diff_Form,Home_Win_Streak,Away_Win_Streak,Home_H2H_Win_Rate,Away_H2H_Win_Rate,HTV($m),ATV($m),HTPos_avg,ATPos_avg,HSPE (%),HPE (%),ASPE (%),APE (%),HTPos_avg_missing,ATPos_avg_missing,HSPE_missing,ASPE_missing,HPE_missing,APE_missing,HTV_missing,ATV_missing
19,8,2000,6,Charlton,Man City,4.0,0.0,H,2.0,0.0,H,R Harris,17.0,8.0,14.0,4.0,6.0,6.0,13.0,12.0,1.0,2.0,0.0,0.0,0,0,"20,043",15.272727272727273,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.5256,0.46579999999999994,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Chelsea,West Ham,4.0,2.0,H,1.0,0.0,H,G Barber,17.0,12.0,10.0,5.0,7.0,7.0,19.0,14.0,1.0,2.0,0.0,0.0,0,0,"34,914",13.64102564102564,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.5184,0.45439999999999997,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Coventry,Middlesbrough,1.0,3.0,A,1.0,1.0,D,B Knight,6.0,16.0,3.0,9.0,8.0,4.0,15.0,21.0,5.0,3.0,1.0,0.0,0,0,"20,624",12.253968253968255,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.44560000000000005,0.5708,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Derby,Southampton,2.0,2.0,D,1.0,2.0,A,A D'Urso,6.0,13.0,4.0,6.0,5.0,8.0,11.0,13.0,1.0,1.0,0.0,0.0,0,0,"27,223",12.565656565656566,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.44140000000000007,0.5734,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Leeds,Everton,2.0,0.0,H,2.0,0.0,H,D Gallagher,17.0,12.0,8.0,6.0,6.0,4.0,21.0,20.0,1.0,3.0,0.0,0.0,0,0,"40,010",10.11023622047244,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.5096,0.45779999999999993,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Leicester,Aston Villa,0.0,0.0,D,0.0,0.0,D,M Riley,5.0,5.0,4.0,3.0,5.0,4.0,12.0,12.0,2.0,3.0,0.0,0.0,0,0,"21,455",14.965853658536586,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.46719999999999995,0.5172,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Liverpool,Bradford,1.0,0.0,H,0.0,0.0,D,P Durkin,16.0,3.0,10.0,2.0,6.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0,0,"44,183",8.818181818181818,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.5548,0.4144,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Sunderland,Arsenal,1.0,0.0,H,0.0,0.0,D,S Dunn,8.0,14.0,2.0,7.0,2.0,9.0,10.0,21.0,3.0,1.0,0.0,1.0,0,0,"47,121",11.070707070707071,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.45339999999999997,0.5519999999999999,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
19,8,2000,6,Tottenham,Ipswich,3.0,1.0,H,2.0,1.0,H,A Wiley,20.0,15.0,6.0,5.0,3.0,4.0,14.0,13.0,0.0,0.0,0.0,0.0,0,0,"36,148",12.11111111111111,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.45640000000000003,0.46900000000000003,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
20,8,2000,7,Man United,Newcastle,2.0,0.0,H,1.0,0.0,H,S Lodge,19.0,9.0,9.0,6.0,7.0,1.0,7.0,13.0,0.0,1.0,0.0,0.0,0,0,"67,477",11.555555555555555,2000,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,40.503807067871094,58.51873016357422,0.46040000000000003,0.4506,0.38188397746775843,0.5729922515631616,0.20226950425096454,0.5876327641607919,1,1,1,1,1,1,1,1
