Team,# of pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ %,Tkld,Tkld %,Carries,TotDist,PrgDist,PrgC,1/third,CPA,Mis,Dis,Rec,PrgR,year
Manchester City,25,56.9,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Manchester Utd,33,58.5,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Newcastle Utd,31,46.6,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Norwich City,28,46,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Southampton,26,49.2,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Stoke City,27,49.7,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Sunderland,31,41,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Swansea City,27,52.5,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Tottenham,24,57.4,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Watford,25,45.1,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
West Brom,28,39.8,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
West Ham,28,48.4,38,,,,,,,,,,,,,,,,,,,,,,,2015/2016
Arsenal,29,56.6,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Aston Villa,27,49,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Burnley,24,42.5,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Chelsea,25,55.9,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Crystal Palace,30,40.4,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Everton,28,54.7,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Hull City,29,44.2,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Leicester City,28,43.5,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Liverpool,25,55.8,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Manchester City,24,59.8,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Manchester Utd,33,61.2,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Newcastle Utd,27,47.7,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
QPR,32,45.2,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Southampton,29,53.1,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Stoke City,25,50.4,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Sunderland,25,45.2,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Swansea City,28,50.1,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
Tottenham,27,57,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
West Brom,26,43.7,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
West Ham,28,45.6,38,,,,,,,,,,,,,,,,,,,,,,,2014/2015
