,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,H14,A14,Attendance,Strictness,Season,Round,Hpts,Apts,HTS,ATS,HGSR,AGSR,Home_DS,Away_DS,Home_Form_Points,Away_Form_Points,Home_Goal_Diff_Form,Away_Goal_Diff_Form,Home_Win_Streak,Away_Win_Streak,Home_H2H_Win_Rate,Away_H2H_Win_Rate,HTV($m),ATV($m),HTPos_avg,ATPos_avg,HSPE (%),HPE (%),ASPE (%),APE (%)
16,23/08/2000,Newcastle,Derby,3.0,2.0,H,1.0,1.0,D,D Gallagher,9.0,10.0,4.0,5.0,9.0,6.0,23.0,11.0,0.0,3.0,1.0,0.0,1,1,"51,327",10.11023622047244,2000,2,0,1,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,-2.0,0.0,0,0,0.0,0.0,,,,,,,,
17,23/08/2000,Southampton,Coventry,1.0,2.0,A,0.0,1.0,A,F Taylor,12.0,7.0,4.0,5.0,6.0,5.0,18.0,20.0,5.0,3.0,0.0,0.0,1,1,"14,801",32.0,2000,2,1,0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,-2.0,0,0,0.0,0.0,,,,,,,,
18,23/08/2000,West Ham,Leicester,0.0,1.0,A,0.0,0.0,D,R Styles,17.0,4.0,12.0,2.0,11.0,5.0,16.0,14.0,3.0,3.0,1.0,0.0,1,1,"25,195",13.308056872037914,2000,2,0,1,0.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,-2.0,0.0,0,0,0.0,0.0,,,,,,,,
19,26/08/2000,Arsenal,Charlton,5.0,3.0,H,1.0,2.0,A,S Lodge,18.0,7.0,9.0,4.0,8.0,3.0,12.0,15.0,0.0,1.0,0.0,0.0,2,2,"38,025",11.555555555555555,2000,2,0,3,1.5,1.5,1.0,2.0,0.5,1.5,1.5,1.5,1.0,1.0,1,0,0.0,0.0,,,,,,,,
20,26/08/2000,Bradford,Leicester,0.0,0.0,D,0.0,0.0,D,S Bennett,8.0,13.0,4.0,8.0,6.0,8.0,11.0,12.0,1.0,2.0,0.0,0.0,2,2,"16,766",13.553719008264462,2000,3,3,4,1.5,2.0,1.0,0.5,0.5,0.0,1.5,2.0,1.0,1.0,1,1,0.0,0.0,,,,,,,,
21,26/08/2000,Everton,Derby,2.0,2.0,D,2.0,0.0,H,M Riley,12.0,7.0,9.0,4.0,11.0,2.0,11.0,9.0,2.0,3.0,0.0,0.0,2,2,"34,840",14.965853658536586,2000,3,3,1,1.5,0.5,1.5,2.0,1.0,2.5,1.5,0.5,1.0,-1.0,1,0,0.0,0.0,,,,,,,,
22,26/08/2000,Ipswich,Sunderland,1.0,0.0,H,0.0,0.0,D,G Poll,14.0,9.0,5.0,3.0,7.0,6.0,10.0,12.0,1.0,1.0,0.0,0.0,2,2,"21,830",12.258064516129032,2000,3,1,3,0.5,1.5,1.0,1.5,2.0,2.0,0.5,1.5,-2.0,-1.0,0,0,0.0,0.0,,,,,,,,
23,26/08/2000,Man City,Coventry,1.0,2.0,A,0.0,2.0,A,A D'Urso,14.0,9.0,5.0,8.0,5.0,5.0,7.0,12.0,2.0,3.0,0.0,0.0,2,2,"34,140",12.565656565656566,2000,3,3,3,1.5,1.5,2.0,1.5,3.0,2.0,1.5,1.5,-2.0,-1.0,1,1,0.0,0.0,,,,,,,,
24,26/08/2000,Middlesbrough,Leeds,1.0,2.0,A,0.0,2.0,A,G Barber,15.0,16.0,8.0,11.0,4.0,8.0,12.0,20.0,2.0,0.0,0.0,0.0,2,1,"31,626",13.64102564102564,2000,3,4,3,2.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,0,1,0.0,0.0,,,,,,,,
25,26/08/2000,Newcastle,Tottenham,2.0,0.0,H,1.0,0.0,H,D Ellaray,15.0,10.0,6.0,2.0,4.0,2.0,13.0,10.0,0.0,0.0,0.0,0.0,2,2,"51,573",12.571428571428571,2000,3,3,4,1.5,2.0,1.5,2.0,2.0,1.0,1.5,2.0,-1.0,2.0,1,0,0.0,0.0,,,,,,,,
