Date,HomeTeam,AwayTeam,FTHG,FTAG,Attendance
30/09/2003,Loko Moscow,Arsenal,0,0,
01/10/2003,Chelsea,Beşiktaş,0,2,
01/10/2003,Stuttgart,Man United,2,1,
21/10/2003,Dynamo Kyiv,Arsenal,2,1,
22/10/2003,Chelsea,Lazio,2,1,
22/10/2003,Rangers,Man United,0,1,
04/11/2003,Lazio,Chelsea,0,4,
04/11/2003,Man United,Rangers,3,0,
05/11/2003,Arsenal,Dynamo Kyiv,1,0,
25/11/2003,Inter,Arsenal,1,5,
26/11/2003,Chelsea,Sparta Prague,0,0,
26/11/2003,Panathinaikos,Man United,0,1,
09/12/2003,Beşiktaş,Chelsea,0,2,
09/12/2003,Man United,Stuttgart,2,0,
10/12/2003,Arsenal,Loko Moscow,2,0,
24/02/2004,Celta Vigo,Arsenal,2,3,
25/02/2004,Porto,Man United,2,1,
25/02/2004,Stuttgart,Chelsea,0,1,
09/03/2004,Chelsea,Stuttgart,0,0,
09/03/2004,Man United,Porto,1,1,
10/03/2004,Arsenal,Celta Vigo,2,0,
24/03/2004,Chelsea,Arsenal,1,1,
06/04/2004,Arsenal,Chelsea,1,2,
20/04/2004,Monaco,Chelsea,3,1,
05/05/2004,Chelsea,Monaco,2,2,
14/09/2004,Arsenal,PSV Eindhoven,1,0,
14/09/2004,Paris S-G,Chelsea,0,3,
15/09/2004,Liverpool,Monaco,2,0,
15/09/2004,Lyon,Man United,2,2,
28/09/2004,Man United,Fenerbahçe,6,2,
28/09/2004,Olympiacos,Liverpool,1,0,
29/09/2004,Chelsea,Porto,3,1,
29/09/2004,Rosenborg,Arsenal,1,1,
19/10/2004,Liverpool,La Coruña,0,0,
19/10/2004,Sparta Prague,Man United,0,0,
20/10/2004,Chelsea,CSKA Moscow,2,0,
20/10/2004,Panathinaikos,Arsenal,2,2,
02/11/2004,Arsenal,Panathinaikos,1,1,
02/11/2004,CSKA Moscow,Chelsea,0,1,
03/11/2004,La Coruña,Liverpool,0,1,
03/11/2004,Man United,Sparta Prague,4,1,
23/11/2004,Man United,Lyon,2,1,
23/11/2004,Monaco,Liverpool,1,0,
24/11/2004,Chelsea,Paris S-G,0,0,
24/11/2004,PSV Eindhoven,Arsenal,1,1,
07/12/2004,Arsenal,Rosenborg,5,1,
07/12/2004,Porto,Chelsea,2,1,
08/12/2004,Fenerbahçe,Man United,3,0,
08/12/2004,Liverpool,Olympiacos,3,1,
22/02/2005,Bayern Munich,Arsenal,3,1,
22/02/2005,Liverpool,Leverkusen,3,1,
23/02/2005,Barcelona,Chelsea,2,1,
23/02/2005,Man United,Milan,0,1,
08/03/2005,Chelsea,Barcelona,4,2,
08/03/2005,Milan,Man United,1,0,
09/03/2005,Arsenal,Bayern Munich,1,0,
09/03/2005,Leverkusen,Liverpool,1,3,
05/04/2005,Liverpool,Juventus,2,1,
06/04/2005,Chelsea,Bayern Munich,4,2,
12/04/2005,Bayern Munich,Chelsea,3,2,
13/04/2005,Juventus,Liverpool,0,0,
27/04/2005,Chelsea,Liverpool,0,0,
03/05/2005,Liverpool,Chelsea,1,0,
25/05/2005,Milan,Liverpool,(,),
13/09/2005,Betis,Liverpool,1,2,
13/09/2005,Chelsea,Anderlecht,1,0,
14/09/2005,Arsenal,Thun,2,1,
14/09/2005,Villarreal,Man United,0,0,
27/09/2005,Ajax,Arsenal,1,2,
27/09/2005,Man United,Benfica,2,1,
28/09/2005,Liverpool,Chelsea,0,0,
18/10/2005,Man United,Lille,0,0,
18/10/2005,Sparta Prague,Arsenal,0,2,
19/10/2005,Anderlecht,Liverpool,0,1,
19/10/2005,Chelsea,Betis,4,0,
01/11/2005,Betis,Chelsea,1,0,
01/11/2005,Liverpool,Anderlecht,3,0,
02/11/2005,Arsenal,Sparta Prague,3,0,
02/11/2005,Lille,Man United,1,0,
22/11/2005,Man United,Villarreal,0,0,
22/11/2005,Thun,Arsenal,0,1,
23/11/2005,Anderlecht,Chelsea,0,2,
23/11/2005,Liverpool,Betis,0,0,
06/12/2005,Chelsea,Liverpool,0,0,
07/12/2005,Arsenal,Ajax,0,0,
07/12/2005,Benfica,Man United,2,1,
21/02/2006,Benfica,Liverpool,1,0,
21/02/2006,Real Madrid,Arsenal,0,1,
22/02/2006,Chelsea,Barcelona,1,2,
07/03/2006,Barcelona,Chelsea,1,1,
08/03/2006,Arsenal,Real Madrid,0,0,
08/03/2006,Liverpool,Benfica,0,2,
28/03/2006,Arsenal,Juventus,2,0,
05/04/2006,Juventus,Arsenal,0,0,
19/04/2006,Arsenal,Villarreal,1,0,
25/04/2006,Villarreal,Arsenal,0,0,
17/05/2006,Barcelona,Arsenal,2,1,
12/09/2006,Chelsea,Werder Bremen,2,0,
12/09/2006,PSV Eindhoven,Liverpool,0,0,
13/09/2006,Hamburger SV,Arsenal,1,2,
13/09/2006,Man United,Celtic,3,2,
26/09/2006,Arsenal,Porto,2,0,
26/09/2006,Benfica,Man United,0,1,
27/09/2006,Levski Sofia,Chelsea,1,3,
27/09/2006,Liverpool,Galatasaray,3,2,
17/10/2006,CSKA Moscow,Arsenal,1,0,
17/10/2006,Man United,FC Copenhagen,3,0,
18/10/2006,Bordeaux,Liverpool,0,1,
18/10/2006,Chelsea,Barcelona,1,0,
31/10/2006,Barcelona,Chelsea,2,2,
31/10/2006,Liverpool,Bordeaux,3,0,
01/11/2006,Arsenal,CSKA Moscow,0,0,
01/11/2006,FC Copenhagen,Man United,1,0,
21/11/2006,Arsenal,Hamburger SV,3,1,
21/11/2006,Celtic,Man United,1,0,
22/11/2006,Liverpool,PSV Eindhoven,2,0,
22/11/2006,Werder Bremen,Chelsea,1,0,
05/12/2006,Chelsea,Levski Sofia,2,0,
05/12/2006,Galatasaray,Liverpool,3,2,
06/12/2006,Man United,Benfica,3,1,
06/12/2006,Porto,Arsenal,0,0,
